Plattform,Wohnung,Name,Datum,Kommentar,Gefundenes Muster,Originalsprache
Airbnb,FAMZI,Sabina,2024-03-28,"Wir waren rundum zufrieden mit unserem Aufenthalt. Durch das detaillierte online Gästebuch waren alle notwendigen Infos, Wanderrouten usw. stets erreichbar.  Wir kommen gerne wieder ☀️","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,FAMZI,Maylin,2024-01-24,Wir waren vollkommen zufrieden mit der Unterkunft! Die Lage ist hervorragend für Ausflüge in die sächsische Schweiz. Es gab genügend Infomaterial und Tipps für tolle Unternehmungen und Restaurants etc.  Es hat an nichts gefehlt. Wir kommen bestimmt wieder :-),kommen (gerne|sicher|bestimmt) wieder,de
Airbnb,FAMZI,Daniel,2023-11-18,"Es war ein sehr schöner Aufenthalt. Die Anweisungen zum Check-In waren detailliert und verständlich. Des Weiteren war in der Unterkunft ein Odner mit allen wichtigen Informationen, was mir sehr gefallen hat.  Die Umgebung dort ist ein Traum. Ich komme gerne wieder.",gerne wieder,de
Airbnb,FAMZI,Marvin,2023-10-21,"Top Unterkunft, sauber und günstig. Preis Leistung stimmt hier. Wanderziele in der Umgebung sind innerhalb etwa 20 Minuten zu erreichen. Das Highlight für mich,die Sauna, ist nicht auf höchstem Niveau, aber mit ein paar Kniffen wird es zum Vergnügen. Gerne wieder.",gerne wieder,de
Airbnb,FAMZI,Anna Karine,2023-05-15,"Tolle Wohnung, wir waren sind zufrieden mit unserem Aufenthalt hier!  Die Küche ist super ausgestattet, man braucht an nichts selber zu denken. Alles war sehr sauber und die Wohnung ist sehr süß.  Ausflüge-tipps sind vorhanden und die Gastgeber haben nützliche Informationen in einem Ordner notiert. Alles ist ausführlich erklärt (Wohnung finden, Schlüsselübergabe, etc.) und die Organisation ist einfach top!  Wir empfehlen die Wohnung sehr und würden gerne wiederkommen! Vielen Dank!",gerne wieder,de
Airbnb,FAMZI,Marcus,2022-11-20,"Waren sehr zufrieden.  Schicke Unterkunft. Leichter, schneller Zugang. Top Ausstattung. Gerne wieder",gerne wieder,de
Airbnb,FAMZI,Johnny,2022-06-21,"Sehr sauber, gut ausgestattet, schöner Garten am Fluss. Wir hatten alles was wir brauchten. Gerne wieder.",gerne wieder,de
Airbnb,FAMZI,Robert,2022-04-28,Gute Beschreibungen zum einchecken. Tolle Unterkünft und schöner Außenbereich. Gerne wieder.,gerne wieder,de
Airbnb,H1,Simone,2025-03-02,Ich komme gerne wieder 🤩,gerne wieder,de
Airbnb,H1,André,2024-11-17,Klein und fein. Es gibt nichts zu meckern. Preis Leistungsverhältnis ist sehr gut. Wir kommen gerne wieder,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H1,Finja,2024-06-07,"Wir fanden den Aufenthalt wirklich schön, wir kommen gerne wieder. :)","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H1,Fernando,2023-11-20,"Sehr gut, wir würden auf jeden Fall wieder in der Wohnung übernachten. Alles sehr sauber und mit allem, was sie versprechen","volver(ía|ía|emos|é|án), (sin duda|definitivamente|seguro) (volver|regresar)",es
Airbnb,H1,Claudia,2023-02-24,Das Zimmer ist super gelegen und perfekt als Ausgangsstation für einen Wanderurlaub. Es war alles sehr sauber und besonders die Kommunikation war wirklich klasse.  Wir würden jederzeit wiederkommen und die Unterkunft weiterempfehlen :),jederzeit wieder,de
Airbnb,H1,Julia,2023-02-21,"Wir würden jederzeit wiederkommen.  Mit dem Auto super zu erreichen und perfekt um zu den Ausgangspunkten der Wanderrouten zu gelangen. Das Zimmer ist sehr schön eingerichtet und gemütlich. Das Zimmer ist zwar recht klein und auch die Küche ist eher für kleine Mahlzeiten gemacht und nicht für große Kochaktionen, aber man hat alles was man braucht. Der Kühlschrank hat sogar ein Eisfach und es gibt eine Spülmaschine ☺️  Auch die Kommunikation war super :) Vielen Dank!",jederzeit wieder,de
Airbnb,H1,Sophie Tabea,2022-11-29,Schöne kleine Wohnung für einen Kurzurlaub in der Sächsischen Schweiz mit reibungsloser Kommunikation! Wir kommen gerne wieder!,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H1,Tom,2022-11-25,"Alles zu meiner vollsten Zufriedenheit, ein schöner Urlaub gewesen, gerne wieder. Preis-Leistung Top!",gerne wieder,de
Airbnb,H1,Anni,2022-10-06,"Süße,  gemütliche Unterkunft, total nette und immer gut erreichbare GastgeberInnen! Das Frühstück war liebevoll hergerichtet! Ich hab mich super wohlgefühlt und würde immer wieder kommen! :)","wieder kommen, immer wieder (gern|kommen)",de
Airbnb,H1,Emilia,2022-09-26,Unser Aufenthalt in Sebnitz war toll. Das kleine Richtung Garten gelegene Zimmer war gemütlich und es hat an nichts gefehlt. Wir würden jederzeit wiederkommen.,jederzeit wieder,de
Airbnb,H1,Anja,2022-09-19,Sehr schöne Lage und unkomplizierte Kommunikation mit den Gastgebern. Gerne wieder.,gerne wieder,de
Airbnb,H1,Alieldin,2022-08-25,"Wow, das hat unsere Erwartungen definitiv übertroffen! So ein wunderschönes, sauberes, gemütliches Zimmer an einem ruhigen Bach. Die Liebe zum Detail war unglaublich und es gab nichts, was wir brauchten, was nicht bereits im Zimmer war. Es war ein angenehmer Aufenthalt und wir würden auf jeden Fall wiederkommen, wenn wir die Chance dazu hätten!","(would|will) (definitely|gladly|surely|certainly)\s*(come|be) back, come back again, back again",en
Airbnb,H1,Kerstin,2022-07-29,"Sehr schnuckeliges, aber sehr kleines Zimmer. Wirkt auf den Bildern wesentlich größer. Garten sehr schön, auch ideal gewesen für unsere Vierbeiner. Perfekte Lage, gute Einkaufsmöglichkeiten. Wir kommen gerne wieder, dann aber ein größeres Zimmer oder zwei separate. Sehr freundliche Vermieter, gute unkomplizierte Kommunikation.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H1,Neele,2022-06-09,Wir hatten einen super gemütlichen Aufenthalt im Airbnb von Urlaubsmagie. Die Wohnung ist zwar kuschelig klein aber dennoch eines der best ausgestatteten Airbnbs in denen ich je war. Der Checkin hat problemlos funktioniert und alles war super sauber. Ich würde auf jeden fall wiederkommen :),auf jeden Fall wieder,de
Airbnb,H1,Johannes,2022-05-31,"Die Unterkunft hat uns sehr gut gefallen. Alles hat der Beschreibung entsprochen. Die Küche war sehr gut ausgestattet und auch Gewürze, Spühlmaschinentabs… waren bereits vorhanden! Wir kommen gerne wieder :)","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H1,Jana,2022-05-22,Es war ist ein gut ausgestattetes Zimmer in dem man zu zweit auf jeden Fall genug Platz hat! Beim nächsten mal gerne wieder :),gerne wieder,de
Airbnb,H1,Marvin,2022-05-14,"Wir waren leider nur eine Nacht in der Unterkunft, haben es aber dennoch genossen. Alles war wie beschrieben, die Wohnung hat eine kleine Küche und ein kleines Bad mit Dusche. Die Wohnung an sich ist sehr gemütlich eingerichtet und wenn man mit offenem Fenster schläft hört man im Hintergrund den Bach plätschern. Wir kommen gerne wieder! Preis Leistung ist hier eine klare 10/10","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H1,Nele,2022-04-28,"Wir waren für 3 Tage hier. Es hat uns super gefallen! Sehr sehr gemütlich und auch sonst hat alles gestimmt. Klein aber fein. Perfekte Lage um seine Routen zu starten, sowie Einkaufsmöglichkeiten die wirklich in nur 2 min zu Fuß zu erreichen sind. Wir würden aufjedenfall wieder kommen und empfehlen es auch gerne weiter!",wieder kommen,de
Airbnb,H1,Max,2022-04-19,"Hier wird versucht einem alten Hotel wieder Leben einzuhauchen. Eine Tolle Idee!  Das Zimmer beinhaltet alles notwendige was man so braucht. Öl, Salz, Pfeffer und zur Not auch ein paar Nudeln. Check-In und Check-out sind mega unkompliziert. Das Anwesen ist in einem guten Zustand und man kommt von hier super zu den guten Wanderrouten. Die Gastgeber:innen geben sich hier wirklich Mühe und die Kommunikation verläuft unkompliziert. Gerne wieder und definitiv empfehlenswert.",gerne wieder,de
Airbnb,H1,Sahrie,2022-03-14,"Wirklich tolle Unterkunft zu einem tollen Preis. Wir haben uns sehr wohl gefühlt! Zudem war es auch Hundefreundlich, was uns sehr gefreut hat! Gerne wieder!",gerne wieder,de
Airbnb,H1,Xenia,2022-02-07,Das Zimmer war sehr sauber und alles lief reibungslos. Wir kommen gerne wieder :-),"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H1,India,2021-11-16,"Eine sehr schöne und saubere Unterkunft! Vielen Dank auch für die zahlreichen Infos, damit konnten wir uns gut orientieren und direkt los wandern! Wir kommen gerne wieder :)","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H1,Sarah,2021-10-24,Wir haben uns super wohlgefühlt und es hat alles reibungslos funktioniert. Die Kommunikation war sehr herzlich und auf Fragen wurde sofort eingegangen. Vielen Dank für die schöne Unterkunft! Wir kommen gerne wieder :),"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H1,Monty,2021-10-13,"Alles Tiptop, gerne wieder",gerne wieder,de
Airbnb,H1,Carolin,2021-10-11,"Das Zimmer ist genauso wie auf den Bildern: gemütlich, klein, praktisch, mit allem ausgestattet. Es gibt eine Kaffeemaschine mit Filtern und Pulver sowie Öl und Salz. (Super, wenn sowas in einem Airbnb vorhanden ist) Check-In super easy dank Schlüsselbox. Parkplätze gibt es direkt vor der Tür.  Ideal für ein Pärchen.  Gerne wieder!",gerne wieder,de
Airbnb,H1,Willem,2021-10-04,"Super Konzept, gerne wieder!",gerne wieder,de
Airbnb,H1,Sarah,2021-09-02,"Sehr gemütlich und sauber. Wenn man fragen hat, bekommt man direkt ne Antwort. Gerne wieder",gerne wieder,de
Airbnb,H1,Pauline,2021-08-10,"Super süßes und liebevolles kleines Apartment. Es gibt alles was man braucht. Das Haus ist ruhig gelegen und der Garten schön, um dort zu verweilen sofern das Wetter mitspielt. Die Lage des Apartments ist super, wenn man wandern möchte. Es gibt sehr viele schöne Wege in unmittelbarer Umgebung :-) die Kommunikation mit Urlaubsmagie war schnell, unkompliziert und stets freundlich. Wir waren mit unserem Vierbeiner da, was auch absolut keine Probleme gemacht hat. Gerne wieder!!",gerne wieder,de
Airbnb,H2,Thomas,2025-08-16,Wir hatten einen tollen Aufenthalt! Super gelegen und alles wie beschrieben! Wir kommen gerne wieder 💪🏼,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H2,Virginia,2025-02-19,"Ein spontaner, kurzer aber schöner Aufenthalt. Ein total  gemütliches und liebevoll eingerichtetes Zimmer. Die Küche war top ausgestattet. Check-In und Check-Out waren total unkompliziert. Wir kommen gerne wieder :-)","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H2,Mirela,2024-11-15,"Wir waren nur eine Nacht da. Das Apartment ist klein, hat aber alles was man braucht. Die Straßengeräusche waren kaum zu hören und wir konnten sehr gut schlafen. Die Lage ist super, wenn man die sächsische Schweiz kennenlernen möchte und wir werden auf jeden Fall im Sommer wieder kommen. Wir hatten keinen persönlichen Kontakt mit Anna-Lena; alles hat aber super geklappt und die schriftliche Kommunikation war sehr freundlich. Vielen Dank auch für die Süßigkeiten und den Kaffee ☺️",wieder kommen,de
Airbnb,H2,Albert,2024-06-16,"Nettes, kleines Zimmer in einem alten Gasthaus, in guter Lage. Es war alles da was ich brauchte und ich komme gerne wieder",gerne wieder,de
Airbnb,H2,Marcus,2024-06-10,"Alles Bestens, schöne Gegend, gerne wieder.",gerne wieder,de
Airbnb,H4,Fabienne,2025-11-09,"Wir hatten eine tolle Zeit! Alles wie beschrieben, sauber, gemütlich und super gelegen. Gerne wieder! 😊",gerne wieder,de
Airbnb,H4,Thomas,2025-10-10,Wir hatten sehr schöne Tage in der sächsischen Schweiz und haben uns rundum wohlgefühlt in der kleinen süßen Wohnung. Alles wie erwartet und gerne wieder,gerne wieder,de
Airbnb,H4,Andrea-Kristin,2025-10-08,"Ich bin bereits das zweite Mal bei Anna-Lena gewesen. Und würde auch ein drittes Mal wieder kommen. Für mich sollte ein Wanderurlaub kein Urlaub sein. Ich möchte einfach nur in der Natur sein und einen schönen Platz zum schlafen haben, - es ist schwierig bezahlbare Unterkünfte zu finden, danke für eure Preise!",wieder kommen,de
Airbnb,H4,Kiara,2025-03-27,Ich war rundum zufrieden und komme gerne wieder :),gerne wieder,de
Airbnb,H4,Pauline,2025-02-22,Wir hatten einen sehr schönen Aufenthalt und haben die Zeit sehr genossen :)  Die Unterkunft war gemütlich und gut ausgestattet! Wir kommen gerne wieder.,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H4,Julie,2025-01-11,"Alles supi, gerne wieder",gerne wieder,de
Airbnb,H4,Miriam Elisabeth,2024-11-26,Alles top. CheckIn war sehr einfach und flexibel. Ich konnte auch spontan etwas eher einchecken. In der Wohnung war ein Hefter mit allen wichtigen Infos und schönen Tipps! Insgesamt gerne wieder :) Ich war außerhalb der Saison da und es war ein top Preis-Leistungs-Verhältnis!,gerne wieder,de
Airbnb,H4,Madita,2024-11-21,Die Unterkunft war wie beschrieben. Gerne wieder.,gerne wieder,de
Airbnb,H4,Yvonne,2024-02-05,"Tolles AirBnb, wir haben uns sehr wohlgefühlt! Toll das es auch mit Hund klappt. Alles war sauber und genau wie auf den Fotos. Supermarkt gut zu Fuß erreichbar. Wir kommen gerne wieder!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H4,Tony,2023-09-09,Alles bestens. Gerne wieder :),gerne wieder,de
Airbnb,H4,Laura,2023-03-23,"Für Kurzurlaube ist die Unterkunft sehr zu empfehlen. Sehr sauber, gute Lage und eine wirklich durchdachte Ausstattung. Uns hat es an nichts gefehlt und wir kommen gerne wieder :)","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H4,Daneil,2022-10-31,Waren eine Nacht in der Unterkunft. Man hat die Liebe zum Detail gesehen und haben uns sehr wohl gefühlt. Nächstes mal gerne wieder 🙂,gerne wieder,de
Airbnb,H4,Vanessa,2022-06-21,"Sehr gemütliche Unterkunft, es ist wirklich an alles gedacht :) wir haben uns sehr wohl gefühlt und kommen gerne wieder :)","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H5,Sophia,2025-03-17,"Super Aufenthalt, hat alles wunderbar geklappt und die Ausstattung war für unser Wochenende ideal. Gerne wieder :)",gerne wieder,de
Airbnb,H5,Sina,2023-10-30,"Super schöne, gemütliche Wohnung mit sehr viel Liebe zum Detail. Top Kommunikation. Lediglich die Matratze war etwas durchgelegen, aber da kann man bei dem Preis absolut nichts gegen sagen. Wir würden auf jeden Fall wieder kommen.","wieder kommen, auf jeden Fall wieder",de
Airbnb,H5,Jan,2023-07-01,"Alles hat gut geklappt, gerne wieder fals man in der gegend eine unterkunft braucht.",gerne wieder,de
Airbnb,H5,Anna,2023-05-19,Es war alles super und unkompliziert! ich war sehr zufrieden und komme gerne wieder. 😊,gerne wieder,de
Airbnb,H5,Sandy,2023-03-02,Schöne Unterkunft die vielfältig Ausflugsziele der Sächsischen-Schweiz erreichen lässt. Gerne wieder!,gerne wieder,de
Airbnb,H5,Darlene Mercedes,2023-02-04,War alles Super 😊  wenn wir noch mal in die Gegend fahren würden wir wieder kommen.,wieder kommen,de
Airbnb,H5,Udo,2022-11-18,"Top Unterkunft mit allem was man benötigt, gerne wieder 👍🏻👍🏻",gerne wieder,de
Airbnb,H5,Celina,2022-11-16,Sehr schönes und liebevoll eingerichtetes Zimmer. Uns hat hier nichts gefehlt. Es war alles sehr sauber und es hat alles funktioniert. Wir kommen gerne wieder.,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H5,Sophia,2022-11-12,"Das Appartement war sehr süß. Es war liebevoll eingerichtet, sehr sauber und es war alles dort, was man benötigt. Die Kommunikation mit den Gastgebern der ""Urlaubsmagie"" war super. Check in und Check out waren unkompliziert (selbstständig).  Das Gebäude sieht von außen etwas unscheinbar aus und befindet sich direkt an der Straße, aber trotz des fehlenden Bürgersteigs war die Lage super. Ich war mit dem Auto schnell bei meinen Wanderzielen und auch Bushaltestellen waren in der Nähe. Es gibt 3 Parkplätze am Haus, aber ein 4tes oder 5tes Auto passen theoretisch auch noch vor das Gebäude.  Ca 5 min zu Fuß entfernt waren Geschäfte, für den täglichen Bedarf. Alles in allem eine super Unterkunft. Hat sich wirklich gelohnt. Habe mich sehr wohl gefühlt. Gerne wieder! :)",gerne wieder,de
Airbnb,H5,Lea,2022-09-23,"Die Wohnung ist sehr klein, aber alles ist da, was man im Urlaub braucht. Wir waren zum Wandern in der Sächsischen Schweiz. Die Informationen, die in der Wohnung liegen reichen vollkommen um eine schöne Wanderauszeit zu erleben. Dank der Gastfreundschaft auch gegenüber Hunden haben wir ein paar schöne Tage in Sebnitz verbringen können.  Vielen Dank, gerne wieder!",gerne wieder,de
Airbnb,H5,Dirk,2022-09-04,Alles so wie beschrieben. Sehr freundliche und hilfsbereite Vermieter. Immer wieder gerne,immer wieder (gern|kommen),de
Airbnb,H5,Oliver,2022-08-01,"Hat alles super geklappt, würde jederzeit wieder dort gastieren",jederzeit wieder,de
Airbnb,H5,Helen,2022-07-20,"Alles top! Es war ein super schöner Aufenthalt, gerne wieder :)",gerne wieder,de
Airbnb,H5,Claus-Werner,2022-07-16,Wir hatten eine sehr schöne Zeit im Apartment von Anna-Lena.  Check-In und die Kommunikation verlief reibungslos. Gerne wieder.,gerne wieder,de
Airbnb,H5,Spencer,2022-06-14,Dies ist ein ausgezeichneter Ort zum Übernachten. Ich würde hierher zurückkommen.,(would|will) (definitely|gladly|surely|certainly)\s*(come|be) back,en
Airbnb,H6,Tina,2025-05-09,"Süße Wohnung, herzliche Gastgeber, alles in allem einfach toll. Wir würden jederzeit wieder dort übernachten, haben uns sehr wohl gefühlt.",jederzeit wieder,de
Airbnb,H6,Julia,2024-08-11,"Alles super, kommen gerne wieder.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H6,Svitlana,2024-07-27,"Ich habe mich in der Unterkunft wohl gefühlt. Die Ausstattung der Wohnung, die Kommunikation mit dem Gastgeber waren sehr gut. Gerne wieder",gerne wieder,de
Airbnb,H6,Nele,2024-07-12,"Eine tolle Unterkunft, mit einem wirklich tollen Host! Die Kommunikation hat super geklappt, wir kommen gerne wieder!  Vielen Dank. Unserer Labradordame hat es auch sehr gut gefallen!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H6,Joshua,2024-05-22,"Die Unterkunft war super sauber und süß eingerichtet.  Wichtig zu wissen ist nur, dass die Wohnung sehr hellhörig ist und zur Straße liegt.  Ansonsten alles super und weiter zu empfehlen und würde es auf jeden Fall wieder buchen :)","wieder buchen, auf jeden Fall wieder",de
Airbnb,H6,Lara,2024-05-08,"Wir waren gerne in der Unterkunft zu Gast und haben uns sehr willkommen gefühlt. Alles war super, lediglich eine kleine Anmerkung für sehr lärmempfindliche Menschen: wenn man gerne mit offenem Fenster schläft, sollte man sich Ohrstöpsel mitnehmen, da die Straße sonst doch sehr deutlich zu hören ist. Sonst war alles top und die Gastgeber*innen waren sehr hilfsbereit und gut zu erreichen! Wir kommen gerne wieder :) Liebe Grüße Lara & Carina","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,H6,Ysabel,2024-04-20,Die Unterkunft war wie beschrieben und in guter Lager. Jederzeit wieder.,jederzeit wieder,de
Airbnb,H6,Luise,2023-10-21,Freundliche Kommunikation und unkomplizierte An- und Abreise. Sehr saubere Wohnung! Gerne wieder 😊,gerne wieder,de
Airbnb,H6,Lia,2023-07-21,Wir haben ein paar schöne Tage in einer blitzsauberen Ferienwohnung verbringen dürfen. Der Check in war unfassbar flexibel und einfach! Perfekte Lage für wanderausflüge! Immer wieder gern! ♥️,immer wieder (gern|kommen),de
Airbnb,H6,Kathrin,2023-04-15,"Wir hatten eine tolle Zeit in Sebnitz. Die Unterkunft war super, sauber und es war alles vorhandenen, für einen tollen Aufenthalt vor Ort. Der Check in war unkompliziert. Die Kommunikation mit Anna-Lena war, bereits vor unserer Ankunft, top! Danke an dieser Stelle noch mal für die tolle Restaurantempfehlung! Von der Unterkunft aus konnten wir viele Wanderwege schnell und einfach mit dem Auto erreichen. Das Stadtzentrum von Sebnitz ist etwas entfernt, aber zu Fuß zu erreichen. Einkaufsmöglichkeiten gibt es direkt um die Ecke. Wir empfehlen diese Unterkunft auf jeden Fall wieder und würden sie immer wieder buchen, wenn wir in die sächsische Schweiz fahren. Danke an das Team von Urlaubsmagie","wieder buchen, auf jeden Fall wieder",de
Airbnb,H6,Sophie,2023-03-17,"Sehr tolle Unterkunft, alles problemlos abgelaufen :) Gerne wieder",gerne wieder,de
Airbnb,H6,Franziska,2022-10-26,"Wir hatten eine super Zeit - schöne, liebevoll eingerichtete Wohnung, leckeres Frühstücksbuffet und eine entspannte, unkomplizierte Kommunikation.  Wir würden jederzeit wiederkommen!",jederzeit wieder,de
Airbnb,H6,Sabine,2022-08-24,"Es war eine super gemütliche Wohnung wo wir uns sehr wohl gefühlt haben. Es war alles vorhanden, was man braucht. Werden sicherlich mal wieder kommen🐶👱🏻‍♀️👱🏼‍♂️💕",wieder kommen,de
Airbnb,H6,Elisabeth,2022-08-18,"Die Wohnung ist super schön eingerichtet und top modern ausgestattet. Die Lage ist sehr idyllisch und perfekt um schnell zu beliebten Wanderrouten zu kommen. Die Gastgeber waren super nett, hilfsbereit und stets verfügbar. Wir kommen gerne wieder.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,HW1,Stefanie,2025-04-06,Alles war super organisiert. Auch die Nutzung der Sauna und des Whirlpools war ganz unkompliziert. Sehr gerne wieder!,gerne wieder,de
Airbnb,HW1,Pia,2025-04-04,"Toller Aufenthalt! Die Ferienwohnung ist modern und minimalistisch eingerichtet, in super Lage. Besonders der Whirlpool war ein Highlight. Gerne wieder!",gerne wieder,de
Airbnb,HW1,Jacqueline,2025-02-18,"Es hat uns sehr gut gefallen. Schöne Unterkunft in guter Lage, einfaches einchecken, sauber und wie im Inserat beschrieben. Gerne wieder.",gerne wieder,de
Airbnb,HW1,Timothé,2025-01-02,"Die Wohnung war sehr süß eingerichtet und gemütlich. Sehr nette und proaktive Hosts. Gerne wieder! Ein kleiner Hinweis, da das für mich aus den Bildern/der Beschreibung nicht ersichtlich war: Man muss durch den Garten ca. 50m zur Sauna und nochmal weitere 50m zum Whirlpool gehen. Bei schlechtem/kaltem Wetter nicht trivial!",gerne wieder,de
Airbnb,HW1,Bilal,2024-11-10,"Einfach perfekt! Die Unterkunft war sauber, gemütlich und genau wie beschrieben. Die Gastgeber waren sehr freundlich und hilfsbereit, was meinen Aufenthalt noch angenehmer gemacht hat. Ich komme immer wieder gern und kann diese Unterkunft wärmstens empfehlen!""",immer wieder (gern|kommen),de
Airbnb,HW1,Tim,2024-11-09,"Wir waren eine Woche in der Wohnung und fühlten uns sehr wohl. Alles war super sauber. Wenn man Probleme hatte, wurde einem super geholfen. Wir waren sehr zufrieden und würden immer wieder kommen.","wieder kommen, immer wieder (gern|kommen)",de
Airbnb,HW1,Nancy,2024-11-03,Es war ein sehr schöner Wochenendausflug mit unseren Hund. Die Unterkunft entsprach der Beschreibung und die Umgebung war sehr schön. Wir haben die Unterkunft schon weiterempfohlen und werden wieder kommen! :),wieder kommen,de
Airbnb,HW1,Julia,2024-10-28,"Super gemütliche Wohnung in guter Lage, wir würden immer wieder kommen :)","wieder kommen, immer wieder (gern|kommen)",de
Airbnb,HW1,Lisa,2024-06-13,"Sehr nettes Apartment, alles  wie beschrieben. Tolle Lage. Kurzer aber schöner Urlaub! Wir sind sehr zufrieden und kommen gerne wieder.☺️","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,HW1,Matilda,2024-05-20,"Alles super, die Sauna und der Whirlpool sind natürlich ein tolles Extra. Wir kommen gerne wieder.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,HW1B,Christian,2025-11-01,"Wir haben unseren Aufenthalt in der Ferienwohnung sehr genossen. Die Wohnung war sauber, modern eingerichtet und mit allem ausgestattet, was man braucht. Die Gastgeber waren sehr freundlich und hilfsbereit – vom Check-in bis zur Abreise hat alles reibungslos funktioniert. Auch kleine Extras haben uns sehr gefreut. Wir würden die Unterkunft jederzeit weiterempfehlen und kommen gerne wieder!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,HW1B,Jakob,2025-10-05,Top Unterkunft. Gerne wieder.,gerne wieder,de
Airbnb,HW1B,Josua,2025-02-16,Für eine kleine erholsame Auszeit genau richtig. Die Kommunikation lief sehr gut und freundlich. Gerne wieder.,gerne wieder,de
Airbnb,HW1B,Hannes,2024-12-15,"War alles super! Hat uns gefreut, gerne wieder!",gerne wieder,de
Airbnb,HW1B,Eva,2024-05-17,"Sehr ruhige und große Unterkunft, gerade der Garten mit Whirlpool sind ein Highlight! Auch gibt Anna-Lena viele sehr gute Empfehlungen für den Ort und Aktivitäten. Gerne wieder!",gerne wieder,de
Airbnb,HW1B,Martin,2024-03-19,Danke! War alles wie beschrieben. Leichter Check In und Check Out.  Hat schnell auf Nachrichten geantwortet. Hatte aber keine Fragen. War alles klar! Gerne wieder.,gerne wieder,de
Airbnb,HW2,Mignon,2025-08-02,"Wir waren mit vier Personen für sechs Nächte dort und haben uns sehr wohl gefühlt.  Die Wohnung ist groß, sauber und mit allem ausgestattet, was wir benötigt haben. Den Garten haben wir nicht genutzt, hierzu können wir nichts sagen. Wir würden hier wieder buchen :-)",wieder buchen,de
Airbnb,HW2,Atenas,2024-01-11,"Dieser Ort ist einer von einer Million, Sebnitz ist eine sehr friedliche Stadt, mit einer tollen Umgebung für diejenigen, die die Natur mögen und genießen, die Wohnung selbst war besser als ich erwartet hatte, sie hatte alles, was wir brauchten und noch mehr, wir könnten mit unserem Aufenthalt nicht zufriedener sein, wir hatten eine tolle Zeit und werden wiederkommen, wann immer wir Sebnitz wieder besuchen wollen.",coming back,en
Airbnb,HW2,Undine,2024-01-02,"Wir hatten einen wunderschönen, szenischen Jahreswechsel und haben uns in der Unterkunft sehr wohl gefühlt. Es war alles sehr sauber, die Ausstattung erfüllt alle Wünsche und der Kontakt zu Anna-Lena war sehr freundlich und stets hilfreich. Wir werden auf jeden Fall wiederkommen, um einen guten Ausgangspunkt für Wanderungen zu haben, in dem man sich wohl fühlt und ausruhen kann.",auf jeden Fall wieder,de
Airbnb,HW2,Anna-Lea,2023-06-08,"Alles Tip top, kommen gerne wieder.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,HW2,Arno,2023-04-21,"Unser Aufenthalt bei Anna-Lena und Sebastian war super :) Die Wohnung ist modern eingerichtet und bestens ausgestattet.  Zu Fuß ist man in wenigen Minuten direkt in der Innenstadt - dort findet man u.A. Bäcker, Schlachter und Supermarkt. Von Sebnitz aus lassen sich wunderbar Tagesausflüge in den Nationalpark Sächsische Schweiz unternehmen. Wir kommen gerne wieder :)","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,HW2B,Lydia,2024-01-06,tolle Unterkunft Wir kommen gerne wieder,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
